ID,Name,Status,Recommendation,Legitimacy,Scam Score,Prize (ZAR),Prize Type,Effort,Draw Type,Usable,Barriers,Closing Date,Added,Filled At,Reason,URL
92,Prized.co.za Email Subscription / Competition Entry,skipped,skip,6,10,,unknown,low,unknown,No,,,2026-04-19,,"This page appears to be a generic email newsletter subscription form with no visible competition details, prize information, T&Cs, or sponsor branding — it is unclear whether any actual competition exists. With no prize defined and usability cannot be confirmed, this is not worth entering.",https://www.prized.co.za/category/email-marketing
91,Kitchenique Birthday Sale,skipped,review,6,10,,unknown,low,unknown,Yes,,,2026-04-19,,"This appears to be a newsletter subscription form for a Kitchenique birthday sale promotion rather than a clearly structured competition with stated prizes, making the prize type and value unknown. No T&Cs, closing date, or explicit prize details are visible, so human review is warranted before entering.",https://www.prized.co.za/email-marketing/kitchenique-birthday-sale
90,Win This Mother's Day with Maribu Leather,skipped,review,6,10,"R2,000",product,low,unknown,Yes,,,2026-04-19,,"Maribu Leather is a recognisable South African leather goods brand and the entry is a simple email form, but there are no T&Cs, no closing date, and no detailed prize description visible — the prize appears to be leather goods (handbag or similar) which the wife could use. Human review recommended before entering.",https://www.prized.co.za/clothing-fashion/win-this-mothers-day-with-maribu-leather
89,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/travel-tourism/win-a-spectacular-3-night-escape-for-you-and-your-family-at-zebula-golf-estate-and-spa
88,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/travel-tourism/win-a-2-night-getaway-for-four-in-bloubergstrand
87,,skipped,skip,4,20,,travel,low,unknown,Yes,,,2026-04-19,,"This page appears to be a category listing or newsletter subscription form for a travel/tourism competition aggregator site, with no actual competition details, prize information, T&Cs, sponsor, or closing date visible. Legitimacy is too low to recommend entry given the absence of critical competition details.",https://www.prized.co.za/category/travel-tourism
86,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/travel-tourism/romantic-getaway-for-two-blouberg
85,,skipped,skip,4,20,,unknown,low,unknown,No,,,2026-04-19,,"This page appears to be a newsletter subscription form for a clothing/fashion competition category on prized.co.za, with no actual competition details, prize information, T&Cs, sponsor, or closing date visible. There is insufficient information to identify any usable prize, and the legitimacy score is too low to recommend entry.",https://www.prized.co.za/category/clothing-fashion
84,,skipped,skip,4,20,,unknown,low,unknown,No,,,2026-04-19,,"This page appears to be a newsletter subscription form for an arts and crafts category on prized.co.za, with no actual competition details, prize information, T&Cs, sponsor, or closing date visible. There is nothing to enter and no prize to evaluate.",https://www.prized.co.za/category/arts-crafts
83,Prized.co.za Homeware & Decor Competition (newsletter subscription),filled,review,6,10,,unknown,low,unknown,Yes,,,2026-04-19,2026-04-19,"This appears to be a newsletter subscription form for a homeware and decor competition listing site, with no specific prize, T&Cs, sponsor, or closing date visible on the page. The prize value and draw details are entirely unknown, making it impossible to assess full value, though homeware and decor prizes would generally be usable for this household.",https://www.prized.co.za/category/homeware-decor
82,,skipped,skip,5,20,,unknown,low,unknown,No,,,2026-04-19,,"This page appears to be a newsletter subscription form for a food and drink competition category on prized.co.za, with no actual competition details, prize information, T&Cs, or closing date visible. Without any prize details it cannot be confirmed as usable, and the lack of competition specifics makes it impossible to evaluate properly.",https://www.prized.co.za/category/food-drink
81,,skipped,skip,4,20,,unknown,low,unknown,No,,,2026-04-19,,"This page appears to be a newsletter subscription form for a DIY/home improvement category on prized.co.za, with no visible competition details, prize information, T&Cs, sponsor, or closing date. There is no identifiable prize to evaluate, making it impossible to confirm any competition exists here.",https://www.prized.co.za/category/diy-home-improvement
80,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/clothing-fashion/win-a-drakensberg-recycled-felt-cork-leather-backpack
79,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/homeware-decor/win-a-spring-dream-bathroom-makeover-to-the-value-of-r-5000
78,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/food-drink/win-a-one-year-subscription-to-mondvol-cookie-club
77,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/food-drink/win-a-portable-picnic-table-locally-crafted-perfect-for-outdoor-adventures
76,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/homeware-decor/sealy-coolsmart-pillows
75,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/homeware-decor/sofia-sleeper-couch
74,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/food-drink/donkey-long-tong-jack-sack-2
73,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/homeware-decor/dream-in-a-box-the-bed-centre
72,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/food-drink/win-a-4-pack-or-hamper-with-kraak-rusks
71,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/diy-home-improvement/premium-deep-clean-nestiva
70,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/knowledge-base/how-to-enter
69,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/win-a-bumbo-changing-pad-valued-at-549-rand
68,"Win 2 Window Insect Screens and a Door Insect Screen valued at R1,600",filled,enter,8,10,"R1,600",product,low,unknown,Yes,captcha,,2026-04-19,2026-04-19,"Legitimate South African competition site with T&Cs link and reCAPTCHA; insect screens are practical household products worth R1,600 that a Cape Town homeowner can directly use. Entry is a simple form with minimal effort.",https://givingmore.co.za/competitions/win-2-window-insect-screens-and-a-door-insect-screen-valued-at-1600
67,Win 3 Laser Tattoo Removal Sessions Valued at R5200,skipped,skip,8,10,"R5,200",experience,low,unknown,No,captcha,,2026-04-19,,"Laser tattoo removal sessions are a body-specific medical treatment that requires the winner to actually have tattoos they want removed — this is not a general beauty/wellness treatment the wife could use. Since neither the user nor his wife is identified as having unwanted tattoos, the prize has no practical use for this household.",https://givingmore.co.za/competitions/win-3-laser-tattoo-removal-sessions-valued-at-5200-rand
66,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/a-2-night-luxury-stay-for-2-including-breakfast-dinner-bush-walk-valued-at-12750-rand
65,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/win-a-2-night-stay-in-the-beach-cottage-at-forest-creek-lodge-spa-valued-at-3400-rand
64,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/a-2-night-family-getaway-including-breakfast-dinner-bushwalk-valued-at-13980-rand
63,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/win-a-fable-cocktail-bar-voucher-valued-at-2000-rand
62,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/win-a-family-skincare-wellness-bundle-valued-at-1613-rand
61,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/a-3-night-stay-for-4-people-in-the-camel-thorn-chalet-valued-at-6600-rand
60,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/win-3-night-stay-for-2-adults-valued-at-4200-rand
59,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://givingmore.co.za/competitions/win-a-bodytone-ds25-magnetic-home-indoor-cycle-valued-at-6900-rand
58,prizewinner.co.za Competition,pending,skip,3,50,,unknown,low,unknown,No,,,2026-04-19,,"This site requests your SA ID number with no visible prize, no T&Cs, no sponsor, and no closing date — classic data harvesting warning signs. With a legitimacy score of 3 and no discernible prize on offer, there is nothing worth entering here.",https://www.prizewinner.co.za
57,"Win 1 of 3 Cricket Holiday Clinics Plus a CSE Adidas Jacket Valued at R1,600 Each Per Person",skipped,skip,8,10,"R1,600",experience,low,first_correct,No,captcha,,2026-04-19,,"The prize is a children's cricket holiday clinic plus an Adidas jacket — the clinic is clearly aimed at young cricket players, not a 48-year-old male. Neither the user nor his wife would benefit from this prize.",https://givingmore.co.za/competitions/win-1-of-3-cricket-holiday-clinics-plus-a-cse-adidas-jacket-valued-at-1600-rand-each-per-person
56,Win a 2-Night Stay for 2 People at Bessiebos Campsite valued at R800,filled,review,8,10,R800,experience,low,unknown,Yes,captcha,,2026-04-19,2026-04-19,"Legitimate-looking competition on an established SA platform with T&Cs link and captcha, but the prize value is only R800 and no closing date is listed. Worth a quick entry if passing through the Western Cape area, but the low value may not justify even minimal effort for a Cape Town resident.",https://givingmore.co.za/competitions/win-a-2-night-stay-for-2-people-at-bessiebos-campsite-valued-at-800-rand
55,Win a Choice Between a Free Month of Kickboxing or Karate Classes Valued at R750,skipped,skip,7,10,R750,experience,low,unknown,No,captcha,,2026-04-19,,"The prize is a month of kickboxing or karate classes, which requires recurring weekly physical attendance at the sponsoring gym — location unknown but almost certainly not Cape Town. As an ongoing in-person class membership, it is not practically usable for this household.",https://givingmore.co.za/competitions/win-a-choice-between-a-free-month-of-kickboxing-or-karate-classes-valued-at-750-rand
54,Win an Individual Human Design Reading valued at R1200,skipped,skip,7,10,"R1,200",experience,low,unknown,No,captcha,,2026-04-19,,A Human Design reading is a personalised spiritual/coaching session that would require the winner to actively participate — it is not transferable in a meaningful way and holds little practical value for this household. The prize is essentially a niche personal development session rather than a universally usable product or voucher.,https://givingmore.co.za/competitions/win-a-individual-human-design-reading-valued-at-1200-rand
53,Win a Kids Hair Salon Voucher Valued at R500,skipped,skip,7,10,R500,voucher,low,unknown,No,captcha,,2026-04-19,,"The prize is a kids hair salon voucher, which is specifically for children's haircuts and not usable by a 48-year-old man or his wife. The prize category clearly targets parents with young children, making it irrelevant for this household.",https://givingmore.co.za/competitions/win-a-kids-hair-salon-voucher-valued-at-500-rand
52,"Win a Whale Cruise for 2 People Valued at R2,800",filled,enter,8,10,"R2,800",experience,low,unknown,Yes,captcha,,2026-04-19,2026-04-19,"A whale watching cruise for 2 in South Africa is a great experience for a Cape Town resident and spouse, with a respectable R2,800 value. The competition is on a legitimate-looking platform with T&Cs linked and only requires a simple form and captcha to enter.",https://givingmore.co.za/competitions/win-a-whale-cruise-for-2-people-valued-at-2800-rand
51,"Win a 2-Night Stay in the Beach Cottage at Forest Creek Lodge & Spa (valued at R3,600)",filled,enter,8,10,"R3,600",experience,low,unknown,Yes,captcha,,2026-04-19,2026-04-19,"A legitimate-looking South African competition platform with T&Cs link and reCAPTCHA, offering a R3,600 two-night lodge and spa stay that the user and wife could enjoy as a getaway. Entry is a simple form with a sponsor question, making it quick and low-effort.",https://givingmore.co.za/competitions/win-a-2-night-stay-in-the-beach-cottage-at-forest-creek-lodge-spa-valued-at-3600-rand
50,Win a Granny B's Polka Paint Bundle valued at R750,filled,review,8,10,R750,product,low,unknown,Yes,captcha,,2026-04-19,2026-04-19,"Legitimate competition on a reputable SA platform with T&Cs link and captcha, but the prize is a paint craft bundle (Granny B's Polka Paint) with limited household utility for this user profile. The low prize value of R750 and niche crafting product make it borderline worth entering.",https://givingmore.co.za/competitions/win-a-granny-bs-polka-paint-bundle-valued-at-750-rand
49,Win 4x Kids Hair Salon Vouchers Valued at R250 Each,skipped,skip,7,10,"R1,000",voucher,low,unknown,No,captcha,,2026-04-19,,"The prize is 4x kids hair salon vouchers worth R250 each, specifically for children's haircuts — not usable for a 48-year-old male or his wife. The competition is otherwise low-effort and reasonably legitimate, but the prize has no practical value for this household.",https://givingmore.co.za/competitions/win-4x-kids-hair-salon-vouchers-valued-at-250-rand-each
48,"Win a Human Design Parent and Child Reading valued at R1,900",skipped,skip,7,10,"R1,900",experience,low,unknown,No,captcha,,2026-04-19,,"The prize is a Human Design parent and child reading session — a niche spiritual/personality consultation service that neither the user nor his wife would likely find practical value in. As a recurring or specialist consultation experience rather than a broadly usable prize, it does not suit this household's preferences.",https://givingmore.co.za/competitions/win-a-human-design-parent-and-child-reading-valued-at-1900-rand
47,"Win a Cheetah Run Guided Tour of the Ann van Dyk Cheetah Centre for 2 Guests (valued at R1,040)",skipped,review,8,10,"R1,040",experience,low,unknown,Yes,captcha,,2026-04-18,,"Legitimate-looking competition on an established SA platform with T&Cs link and reCAPTCHA, but no closing date is listed and the prize value is modest at R1,040. The Ann van Dyk Cheetah Centre is a real, well-known venue near Hartbeespoort, so a Cape Town resident could use this when travelling to Gauteng.",https://givingmore.co.za/competitions/win-a-cheetah-run-guided-tour-of-the-ann-van-dyk-cheetah-centre-for-2-guests-valued-at-1040-rand
46,"Win a Weekend Breakaway for 2 People Valued at R2,400",filled,enter,7,10,"R2,400",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"This appears to be a legitimate South African competition platform with visible T&Cs, reCAPTCHA protection, and a clearly valued R2,400 weekend breakaway prize. The entry is a simple form and the prize is usable for a Cape Town resident either locally or when travelling.",https://givingmore.co.za/competitions/win-a-weekend-breakaway-for-2-people-valued-at-2400-rand
45,Win a Cloth Training Potty Pants and Disposable Training Pants valued at R478,pending,skip,7,10,R478,product,low,unknown,No,captcha,,2026-04-18,,"The prize is cloth and disposable training potty pants aimed at toddlers, which is not relevant or usable for a 48-year-old male. The low prize value and niche baby product make this a clear skip.",https://givingmore.co.za/competitions/win-a-cloth-training-potty-pants-and-disposable-training-pants-valued-at-478-rand
44,"Win 6 IPL Hair Removal Sessions for the Face Valued at R10,000",pending,skip,8,10,"R10,000",experience,low,unknown,No,captcha,,2026-04-18,,"The prize is 6 IPL facial hair removal sessions, which is a beauty treatment primarily marketed to women and not practically usable for a 48-year-old male. As it requires recurring physical attendance at a specific clinic, it does not meet the usable criteria for this user.",https://givingmore.co.za/competitions/win-6-ipl-hair-removal-sessions-for-the-face-valued-at-10000-rand
43,"Win a 3-Month Supply of Keto Extreme Fat Burner (valued at R1,050)",filled,review,7,10,"R1,050",product,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"The competition is hosted on a recognisable SA platform with T&Cs linked and a low scam score, but no closing date is listed and the prize is a keto supplement which may have limited practical appeal for this user. Worth reviewing before entering given the niche health product nature of the prize.",https://givingmore.co.za/competitions/win-a-3-months-supply-of-the-keto-extreme-fat-burner-valued-at-1050-rand
42,"Win a voucher for 2 people to visit all of the SAASA Sanctuaries (valued at R1,400)",skipped,enter,8,10,"R1,400",voucher,low,unknown,Yes,captcha,,2026-04-18,,"A legitimate-looking competition on givingmore.co.za with T&Cs linked, a clear R1,400 voucher prize for 2 people to visit SAASA sanctuaries — a usable experience for this user and his wife. Entry is a simple form with captcha, low effort required.",https://givingmore.co.za/competitions/win-a-voucher-for-2-people-to-visit-all-of-the-saasa-sanctuaries-valued-at-1400-rand
41,Win a Kids Navy Swim Gown Valued at R430,pending,skip,8,10,R430,product,low,unknown,No,captcha,,2026-04-18,,"The prize is a kids navy swim gown worth R430, which is a children's product with no practical use for a 48-year-old male without relevant children to gift it to, making it not usable. The low prize value and demographic mismatch make this not worth entering.",https://givingmore.co.za/competitions/win-a-kids-navy-swim-gown-valued-at-430-rand
40,"Win a Weekend Stay for 4 Persons in the Kingklip Apartment (valued at R3,690)",filled,enter,8,10,"R3,690",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"A legitimate accommodation prize worth R3,690 for a weekend stay for 4 persons — ideal for a Cape Town-based household, usable as a local getaway or family trip. Entry is a simple form with a trivia question and reCAPTCHA, T&Cs are linked, and the scam score is very low at 10/100.",https://givingmore.co.za/competitions/win-a-weekend-stay-for-4-persons-in-our-kingklip-apartment-valued-at-3690-rand
39,"Win a Puppet Show for Kids valued at R3,250",pending,skip,7,10,"R3,250",experience,low,unknown,No,captcha,,2026-04-18,,"The prize is a puppet show for kids, which is an entertainment experience intended for children rather than a 48-year-old male user. Even if he has children, the prize is a child-focused performance experience that does not align with his stated preference for practical prizes like cash, vouchers, electronics, food, or household goods.",https://givingmore.co.za/competitions/win-a-puppet-show-for-kids-valued-at-3250-rand
38,"Win a 2-Night Stay in a Cabin for 2 People Valued at R1,000",skipped,review,7,10,"R1,000",experience,low,unknown,Yes,captcha,,2026-04-18,,"Competition appears legitimate with T&Cs linked and reCAPTCHA in place, but no closing date is listed and the prize value is modest at R1,000. The cabin stay is usable for a Cape Town resident travelling elsewhere, but the low prize value and missing deadline warrant a quick review before entering.",https://givingmore.co.za/competitions/win-a-2-night-stay-in-a-cabin-for-2-people-valued-at-1000-rand
37,"Win a Midweek 2-Night Stay for 2 People Valued at R2,400",filled,enter,8,10,"R2,400",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate South African competition platform with T&Cs link, reCAPTCHA, and a clearly valued R2,400 midweek hotel stay prize. No closing date is a minor concern, but the low scam score and simple entry form make this worth entering.",https://givingmore.co.za/competitions/win-a-midweek-2-night-stay-for-2-people-valued-at-2400-rand
36,"Win a 2-Night Stay for 2 at Little Eden St Lucia valued at R2,400",filled,enter,8,10,"R2,400",travel,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking competition on givingmore.co.za with T&Cs link, reCAPTCHA, and a clearly named sponsor prize worth R2,400. The 2-night St Lucia stay is a usable one-off experience for a Cape Town resident who can travel or gift it, and entry requires only a simple form.",https://givingmore.co.za/competitions/win-a-2-night-stay-for-2-at-little-eden-st-lucia-valued-at-2400-rand
35,Win a voucher to visit all of the SAASA Sanctuaries for 2 people valued at R1400,filled,enter,8,10,"R1,400",voucher,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate competition on givingmore.co.za with a clear T&Cs link, reCAPTCHA, and a specific R1400 voucher prize to visit SAASA sanctuaries for 2 people. Entry is a simple form and the experience is usable as a one-off visit accessible from Cape Town.",https://givingmore.co.za/competitions/win-a-voucher-to-visit-all-of-the-saasa-sanctuaries-for-2-people-valued-at-1400-rand
34,Win a 1-Hour Photo Shoot for a Family of 5 (Studio or Location) valued at R2500,filled,review,7,10,"R2,500",experience,medium,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking competition on a South African platform with T&Cs linked and a reasonable prize value, but no closing date is listed and the sponsor is unknown (you must answer 'who is the sponsor' without it being stated on the page). A family photo shoot for 5 is usable but requires identifying the sponsor first.",https://givingmore.co.za/competitions/win-a-1-hour-photo-shoot-for-a-family-of-5-studio-or-location-valued-at-2500-rand
33,"Win a 2-Night Weekend Stay for 2 People Sharing Valued at R2,700",filled,enter,8,10,"R2,700",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking South African competition platform with T&Cs link and reCAPTCHA, offering a useful weekend getaway worth R2,700 that a Cape Town resident could enjoy when travelling. Entry is a simple form with no purchase required, though the missing closing date and unspecified sponsor are minor concerns.",https://givingmore.co.za/competitions/win-a-2-night-weekend-stay-for-2-people-sharing-valued-at-2700-rand
32,"Win an Oggi Activewear Shopping Voucher valued at R2,500",filled,enter,8,10,"R2,500",voucher,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate South African competition site with T&Cs link and reCAPTCHA, offering a R2,500 Oggi Activewear voucher usable nationally. Entry is a simple form with a trivia question and no purchase required, though the lack of a closing date is a minor concern.",https://givingmore.co.za/competitions/win-a-oggi-activewear-shopping-voucher-valued-at-2500-rand
31,Win 4 x Kid Got Style Pocket Nappies valued at R620,pending,skip,8,10,R620,product,low,first_correct,No,captcha,,2026-04-18,,"The prize is 4 pocket nappies valued at R620, which is a baby/child product with no practical use for a 48-year-old male without an infant. The prize value is also very low and the product category does not match the user's stated preferences.",https://givingmore.co.za/competitions/win-4-x-kid-got-style-pocket-nappies-valued-at-620-rand
30,"Win a Full Day Spa and Stay for 2 People Valued at R6,400",filled,enter,7,10,"R6,400",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking South African competition site with T&Cs link, reCAPTCHA, and a clearly valued prize of R6,400 for a spa day and stay for 2. No closing date is listed but the entry process is quick and low-effort, making it worth entering.",https://givingmore.co.za/competitions/win-a-full-day-spa-and-stay-for-2-people-valued-at-6400-rand
29,Win a 3-Night Stay for 2 People Valued at R5100,filled,enter,7,10,"R5,100",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"GivingMore.co.za is a recognisable South African competition platform with T&Cs linked and a simple free entry form requiring only basic details and a question answer. The 3-night stay for 2 is a one-off travel experience usable by a Cape Town resident when travelling, and the low effort with no purchase required makes it worth entering.",https://givingmore.co.za/competitions/win-a-3-night-stay-for-2-people-valued-at-5100-rand
28,"Win a Free 1-Hour Photoshoot Session Valued at R2,200",skipped,review,7,10,"R2,200",experience,low,unknown,Yes,captcha,,2026-04-18,,"The competition is hosted on a recognisable South African platform with T&Cs linked and a low scam score, but no closing date is listed and the sponsor is not clearly identified. A photoshoot session in an unspecified location may or may not be convenient for a Cape Town resident.",https://givingmore.co.za/competitions/win-a-free-1-hour-photoshoot-session-valued-at-2200-rand
27,"Win a Shark Cage Dive, Professional Underwater Photos and a DVD of the Trip (valued at R1,500)",filled,enter,8,10,"R1,500",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"A legitimate South African competition site with T&Cs link and reCAPTCHA protection, offering a shark cage dive experience highly suited to a Cape Town resident given Gansbaai is nearby. Low effort form entry and a reasonable prize value make this worth entering.",https://givingmore.co.za/competitions/win-a-shark-cage-dive-professional-underwater-photos-and-a-dvd-of-the-trip-valued-at-1500-rand
26,"Win a Two-Week Caravanning or Camping Holiday for Two People Valued at R14,000",filled,enter,7,10,"R14,000",travel,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"A legitimate-looking competition on a South African travel/tourism directory site with T&Cs linked and a R14,000 caravanning/camping holiday prize. No closing date is listed but entry is simple, low-effort, and the prize is usable by a Cape Town resident.",https://givingmore.co.za/competitions/win-a-two-week-caravanning-or-camping-holiday-for-two-people-valued-at-14000-rand
25,"Win 5 Nonsurgical Ultrasonic Liposuction Sessions Valued at R6,000",pending,skip,7,10,"R6,000",experience,low,unknown,No,captcha,,2026-04-18,,"The prize is 5 nonsurgical ultrasonic liposuction sessions, a beauty treatment that is highly unlikely to be of interest or practical use to a 48-year-old male. As a service requiring repeated physical attendance at a specific clinic, it is not usable for this user profile.",https://givingmore.co.za/competitions/win-5-nonsurgical-ultrasonic-liposuction-sessions-valued-at-6000-rand
24,"Win a 2-Night Stay Bed & Breakfast at Malagas Hotel (valued at R4,096)",filled,enter,8,10,"R4,096",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate competition on a reputable South African platform with T&Cs link, reCAPTCHA, and a clearly valued prize of R4,096 for a 2-night B&B stay. The only minor concern is no closing date listed, but entry is quick and low-effort making it worth entering.",https://givingmore.co.za/competitions/win-a-2-night-stay-bed-breakfast-at-malagas-hotel-valued-at-4096-rand
23,"Win an Aloe Ridge Accommodation Voucher valued at R4,350",filled,enter,8,10,"R4,350",voucher,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate South African competition site with T&Cs link, reCAPTCHA, and a clearly valued accommodation voucher of R4,350 from Aloe Ridge. Simple form entry with no purchase required, and the voucher is usable for travel from Cape Town.",https://givingmore.co.za/competitions/win-an-aloe-ridge-accommodation-voucher-valued-at-4350-rand
